"CustomerID","Age","ZIPCode","Family","Experience","EducUgrad","EducGrad","EducProf","Income","CCAvg","Mortgage","PersLoan","SecAccount","CDAccount","OnlineAccount","CreditCard"
1.00,25.00,"91107",4.00,1.00,1,0,0,49.00,1.60,0.00,0.00,1.00,0.00,0.00,0.00
2.00,45.00,"90089",3.00,19.00,1,0,0,34.00,1.50,0.00,0.00,1.00,0.00,0.00,0.00
3.00,39.00,"94720",1.00,15.00,1,0,0,11.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,35.00,"94112",1.00,9.00,0,1,0,100.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00
5.00,35.00,"91330",4.00,8.00,0,1,0,45.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
6.00,37.00,"92121",4.00,13.00,0,1,0,29.00,0.40,155.00,0.00,0.00,0.00,1.00,0.00
7.00,53.00,"91711",2.00,27.00,0,1,0,72.00,1.50,0.00,0.00,0.00,0.00,1.00,0.00
8.00,50.00,"93943",1.00,24.00,0,0,1,22.00,0.30,0.00,0.00,0.00,0.00,0.00,1.00
9.00,35.00,"90089",3.00,10.00,0,1,0,81.00,0.60,104.00,0.00,0.00,0.00,1.00,0.00
10.00,34.00,"93023",1.00,9.00,0,0,1,180.00,8.90,0.00,1.00,0.00,0.00,0.00,0.00
11.00,65.00,"94710",4.00,39.00,0,0,1,105.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00
12.00,29.00,"90277",3.00,5.00,0,1,0,45.00,0.10,0.00,0.00,0.00,0.00,1.00,0.00
13.00,48.00,"93106",2.00,23.00,0,0,1,114.00,3.80,0.00,0.00,1.00,0.00,0.00,0.00
14.00,59.00,"94920",4.00,32.00,0,1,0,40.00,2.50,0.00,0.00,0.00,0.00,1.00,0.00
15.00,67.00,"91741",1.00,41.00,1,0,0,112.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00
16.00,60.00,"95054",1.00,30.00,0,0,1,22.00,1.50,0.00,0.00,0.00,0.00,1.00,1.00
17.00,38.00,"95010",4.00,14.00,0,0,1,130.00,4.70,134.00,1.00,0.00,0.00,0.00,0.00
18.00,42.00,"94305",4.00,18.00,1,0,0,81.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00
19.00,46.00,"91604",2.00,21.00,0,0,1,193.00,8.10,0.00,1.00,0.00,0.00,0.00,0.00
20.00,55.00,"94720",1.00,28.00,0,1,0,21.00,0.50,0.00,0.00,1.00,0.00,0.00,1.00
21.00,56.00,"94015",4.00,31.00,0,1,0,25.00,0.90,111.00,0.00,0.00,0.00,1.00,0.00
22.00,57.00,"90095",3.00,27.00,0,0,1,63.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00
23.00,29.00,"90277",1.00,5.00,1,0,0,62.00,1.20,260.00,0.00,0.00,0.00,1.00,0.00
24.00,44.00,"91320",2.00,18.00,1,0,0,43.00,0.70,163.00,0.00,1.00,0.00,0.00,0.00
25.00,36.00,"95521",2.00,11.00,1,0,0,152.00,3.90,159.00,0.00,0.00,0.00,0.00,1.00
26.00,43.00,"94305",3.00,19.00,1,0,0,29.00,0.50,97.00,0.00,0.00,0.00,1.00,0.00
27.00,40.00,"95064",4.00,16.00,0,0,1,83.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
28.00,46.00,"90064",1.00,20.00,1,0,0,158.00,2.40,0.00,0.00,0.00,0.00,1.00,1.00
